Clusters,OLS Base R²,OLS Base Test R²,OLS Ext Test R²,OLS Ext Train R²,OLS Ext RMSE,OLS Ext MAE,RF Base R²,RF Base Test R²,RF Ext R²,RF Ext Test R²,RF Ext RMSE,RF Ext MAE
2,0.7718793139879757,0.7449005391427879,0.774025114470018,0.7921951585739493,0.25291521723876426,0.19379719694131078,0.8117099289195475,0.6570623620330669,0.8152266598647955,0.6570003306290944,0.3114204698653913,0.23830247692810233
4,0.7718793139879757,0.7449005391427879,0.7824676421674405,0.7970519709561131,0.24814573006901314,0.18573017480562168,0.8117099289195475,0.6570623620330669,0.8163168317247558,0.6553472466634096,0.312170011990153,0.2386556979868426
6,0.7718793139879757,0.7449005391427879,0.7649170129286234,0.7849055722170654,0.2579618442331768,0.19512144328881312,0.8117099289195475,0.6570623620330669,0.8162478136344744,0.656595652244994,0.31160412599379755,0.2381681850247284
8,0.7718793139879757,0.7449005391427879,0.7838992133495591,0.7998061084795511,0.24732786402199652,0.18726949617247365,0.8117099289195475,0.6570623620330669,0.8161183493722666,0.6554184359517339,0.3121377703955886,0.23950784331743022
10,0.7718793139879757,0.7449005391427879,0.7660367763835034,0.7856413398058684,0.2573467400816953,0.19573556818535756,0.8117099289195475,0.6570623620330669,0.8155751512731497,0.6550560234239974,0.3123018721957299,0.23926013392545845
12,0.7718793139879757,0.7449005391427879,0.7738258833110769,0.793373331337154,0.253026684250511,0.19191251906248888,0.8117099289195475,0.6570623620330669,0.8169610575317617,0.6552040095962837,0.3122348739007237,0.2394224030777083
14,0.7718793139879757,0.7449005391427879,0.7668535208812046,0.784935865067558,0.2568971602564025,0.19375691632288772,0.8117099289195475,0.6570623620330669,0.8174296469247241,0.6547660590762524,0.3124331071093574,0.23986219479663193
